
		Printed:
	    28/08/2021

		Title:
		History Search - CMS

Date;From 01 Apr 18 To 19 Jun 21
Fleet;VJC_all
A/C Type;A320
A/C ID;VN-A690
Message Type;ALL
Ata - subAta;ALL - ALL
Correlated;ALL
Text;ALL


Fault Tracking;Leg;A/C ID;Flight Number;Flight phase;Date Time;Transmission Date;ATA;Source;Title;Priority;Correlated;Report;Work;Note
OCC / REP;-4959;VN-A690;VJ704;02-ENG START;27 Oct 18 - 12:52;27 Oct 18 - 13:01;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4958;VN-A690;VJ508;02-ENG START;27 Oct 18 - 14:56;27 Oct 18 - 14:57;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4955;VN-A690;VJ408;02-ENG START;28 Oct 18 - 01:20;28 Oct 18 - 01:29;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4955;VN-A690;VJ408;07-DESCENT;28 Oct 18 - 02:55;28 Oct 18 - 02:57;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
OCC / REP;-4952;VN-A690;VJ462;02-ENG START;28 Oct 18 - 06:25;28 Oct 18 - 06:32;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4952;VN-A690;VJ462;09-80 KTS;28 Oct 18 - 08:17;28 Oct 18 - 08:17;242255;AFS;AFS:28V PWR 11XU1;;No;CFR/PFR;;
OCC / REP;-4951;VN-A690;VJ917;02-ENG START;28 Oct 18 - 09:32;28 Oct 18 - 09:33;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4950;VN-A690;VJ918;02-ENG START;28 Oct 18 - 12:34;28 Oct 18 - 12:35;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCCURRENCE;-4950;VN-A690;VJ918;07-DESCENT;28 Oct 18 - 14:13;28 Oct 18 - 14:14;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
OCC / REP;-4947;VN-A690;VJ433;02-ENG START;28 Oct 18 - 23:38;28 Oct 18 - 23:38;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4946;VN-A690;VJ432;02-ENG START;29 Oct 18 - 01:38;29 Oct 18 - 01:39;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4945;VN-A690;VJ517;02-ENG START;29 Oct 18 - 03:51;29 Oct 18 - 03:51;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4944;VN-A690;VJ536;02-ENG START;29 Oct 18 - 05:50;29 Oct 18 - 05:50;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCCURRENCE;-4944;VN-A690;VJ536;06-CRUISE;29 Oct 18 - 06:58;29 Oct 18 - 06:59;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
OCC / REP;-4943;VN-A690;VJ515;02-ENG START;29 Oct 18 - 08:10;29 Oct 18 - 08:11;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4942;VN-A690;VJ724;02-ENG START;29 Oct 18 - 10:01;29 Oct 18 - 10:01;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4941;VN-A690;VJ721;02-ENG START;29 Oct 18 - 11:40;29 Oct 18 - 11:41;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4940;VN-A690;VJ;02-ENG START;29 Oct 18 - 16:19;29 Oct 18 - 16:19;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4940;VN-A690;VJ;02-ENG START;29 Oct 18 - 16:20;29 Oct 18 - 16:21;242255;AFS;AFS:28V PWR 11XU1;;No;CFR/PFR;;
OCCURRENCE;-4940;VN-A690;VJ;01-ELEC PWR;29 Oct 18 - 16:21;29 Oct 18 - 16:21;345212;ATC 1;ATC 1 NO DATA FROM CONTROL SOURCE;;No;CFR/PFR;;
OCC / REP;-4939;VN-A690;VJ627;02-ENG START;30 Oct 18 - 01:14;30 Oct 18 - 01:15;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4938;VN-A690;VJ276;02-ENG START;30 Oct 18 - 03:21;30 Oct 18 - 03:22;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4937;VN-A690;VJ277;02-ENG START;30 Oct 18 - 06:03;30 Oct 18 - 06:03;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4934;VN-A690;VJ375;02-ENG START;30 Oct 18 - 10:46;30 Oct 18 - 10:53;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4935;VN-A690;VJ375;08-TOUCH DOWN;30 Oct 18 - 10:06;30 Oct 18 - 10:53;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR/PFR;;
OCC / REP;-4933;VN-A690;VJ198;02-ENG START;30 Oct 18 - 12:35;30 Oct 18 - 12:35;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCCURRENCE;-4933;VN-A690;VJ198;06-CRUISE;30 Oct 18 - 14:35;30 Oct 18 - 14:37;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
OCC / REP;-4932;VN-A690;VJ197;02-ENG START;30 Oct 18 - 15:28;30 Oct 18 - 15:28;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4929;VN-A690;VJ371;09-80 KTS;31 Oct 18 - 02:53;31 Oct 18 - 02:53;3200;;BRAKES HOT;;No;CFR/PFR;;
OCC / REP;-4928;VN-A690;VJ809;02-ENG START;31 Oct 18 - 04:31;31 Oct 18 - 04:31;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4927;VN-A690;VJ808;02-ENG START;31 Oct 18 - 07:03;31 Oct 18 - 07:03;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4924;VN-A690;VJ225;02-ENG START;31 Oct 18 - 12:22;31 Oct 18 - 12:22;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4923;VN-A690;VJ286;02-ENG START;31 Oct 18 - 15:55;31 Oct 18 - 15:55;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCCURRENCE;-4920;VN-A690;VJ750;07-DESCENT;01 Nov 18 - 02:45;01 Nov 18 - 02:45;7700;;ENG REV SET;Low;No;CFR/PFR;;
;-4920;VN-A690;VJ750;09-80 KTS;01 Nov 18 - 02:47;01 Nov 18 - 02:47;3200;;BRAKES HOT;;No;CFR/PFR;;
OCC / REP;-4917;VN-A690;VJ768;02-ENG START;01 Nov 18 - 05:57;01 Nov 18 - 06:09;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4916;VN-A690;VJ279;02-ENG START;01 Nov 18 - 08:41;01 Nov 18 - 08:42;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4908;VN-A690;VJ825;02-ENG START;02 Nov 18 - 03:32;02 Nov 18 - 03:32;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4907;VN-A690;VJ826;02-ENG START;02 Nov 18 - 06:06;02 Nov 18 - 06:07;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4906;VN-A690;VJ654;02-ENG START;02 Nov 18 - 08:40;02 Nov 18 - 08:41;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4905;VN-A690;VJ623;02-ENG START;02 Nov 18 - 10:41;02 Nov 18 - 10:41;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4903;VN-A690;VJ192;02-ENG START;02 Nov 18 - 12:48;02 Nov 18 - 12:48;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4903;VN-A690;VJ192;06-CRUISE;02 Nov 18 - 14:38;02 Nov 18 - 14:39;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
OCC / REP;-4902;VN-A690;VJ185;02-ENG START;02 Nov 18 - 16:03;02 Nov 18 - 16:04;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4901;VN-A690;VJ384;02-ENG START;02 Nov 18 - 23:26;02 Nov 18 - 23:26;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4901;VN-A690;VJ384;08-TOUCH DOWN;03 Nov 18 - 00:16;03 Nov 18 - 00:17;2700;;F/CTL;;No;CFR/PFR;;
OCCURRENCE;-4901;VN-A690;VJ384;08-TOUCH DOWN;03 Nov 18 - 00:16;03 Nov 18 - 00:18;279334;EFCS 1;ELAC2-COM OR BUS2 FROM IR1;;No;CFR/PFR;;
OCC / REP;-4900;VN-A690;VJ381;02-ENG START;03 Nov 18 - 00:55;03 Nov 18 - 00:55;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4900;VN-A690;VJ381;02-ENG START;03 Nov 18 - 00:55;03 Nov 18 - 00:55;2700;;F/CTL;;No;CFR/PFR;;
OCC / REP;-4899;VN-A690;VJ386;02-ENG START;03 Nov 18 - 03:07;03 Nov 18 - 03:08;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4898;VN-A690;VJ387;02-ENG START;03 Nov 18 - 04:54;03 Nov 18 - 04:54;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
OCC / REP;-4897;VN-A690;VJ142;02-ENG START;03 Nov 18 - 06:53;03 Nov 18 - 06:53;2800;;FUEL R TK PUMP 2 LO PR;Medium;No;CFR/PFR;;
;-4897;VN-A690;VJ142;06-CRUISE;03 Nov 18 - 08:39;03 Nov 18 - 08:42;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4893;VN-A690;VJ371;09-80 KTS;04 Nov 18 - 02:34;04 Nov 18 - 02:35;228334;AFS;AFS:FMGC2;;No;CFR/PFR;;
OCCURRENCE;-4891;VN-A690;VJ808;02-ENG START;04 Nov 18 - 06:36;04 Nov 18 - 06:37;228334;AFS;AFS:CHECK FMGC2;;No;CFR/PFR;;
OCCURRENCE;-4891;VN-A690;VJ808;02-ENG START;04 Nov 18 - 06:36;04 Nov 18 - 06:38;228334;AFS;AFS:CHECK FMGC1;;No;CFR/PFR;;
OCCURRENCE;-4890;VN-A690;VJ224;02-ENG START;04 Nov 18 - 09:40;04 Nov 18 - 09:42;228334;AFS;AFS:CHECK FMGC1;;No;CFR/PFR;;
OCCURRENCE;-4890;VN-A690;VJ224;02-ENG START;04 Nov 18 - 09:40;04 Nov 18 - 09:42;228334;AFS;AFS:CHECK FMGC2;;No;CFR/PFR;;
OCCURRENCE;-4889;VN-A690;VJ225;02-ENG START;04 Nov 18 - 11:43;04 Nov 18 - 11:44;228334;AFS;AFS:CHECK FMGC1;;No;CFR/PFR;;
OCCURRENCE;-4889;VN-A690;VJ225;02-ENG START;04 Nov 18 - 11:43;04 Nov 18 - 11:44;228334;AFS;AFS:CHECK FMGC2;;No;CFR/PFR;;
OCCURRENCE;-4888;VN-A690;VJ228;02-ENG START;04 Nov 18 - 14:11;04 Nov 18 - 14:12;228334;AFS;AFS:CHECK FMGC2;;No;CFR/PFR;;
OCCURRENCE;-4888;VN-A690;VJ228;02-ENG START;04 Nov 18 - 14:11;04 Nov 18 - 14:13;228334;AFS;AFS:CHECK FMGC1;;No;CFR/PFR;;
OCCURRENCE;-4887;VN-A690;VJ223;02-ENG START;04 Nov 18 - 16:13;04 Nov 18 - 16:14;228334;AFS;AFS:CHECK FMGC2;;No;CFR/PFR;;
OCCURRENCE;-4887;VN-A690;VJ223;02-ENG START;04 Nov 18 - 16:13;04 Nov 18 - 16:15;228334;AFS;AFS:CHECK FMGC1;;No;CFR/PFR;;
;-4886;VN-A690;VJ212;09-80 KTS;05 Nov 18 - 01:33;05 Nov 18 - 01:33;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4883;VN-A690;VJ712;09-80 KTS;05 Nov 18 - 05:34;05 Nov 18 - 05:37;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4881;VN-A690;VJ654;02-ENG START;05 Nov 18 - 08:52;05 Nov 18 - 08:52;3600;;AIR BLEED;;No;CFR/PFR;;
;-4879;VN-A690;VJ192;06-CRUISE;05 Nov 18 - 14:32;05 Nov 18 - 14:33;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4874;VN-A690;VJ809;02-ENG START;06 Nov 18 - 03:54;06 Nov 18 - 03:54;3600;;AIR BLEED;;No;CFR/PFR;;
;-4874;VN-A690;VJ809;06-CRUISE;06 Nov 18 - 05:05;06 Nov 18 - 05:05;7700;;ENG 2 FADEC;;No;CFR/PFR;;
;-4874;VN-A690;VJ809;06-CRUISE;06 Nov 18 - 05:05;06 Nov 18 - 05:07;732120;EIU2FADEC;T25 SNSR, J11, ECU ENG2A;;No;CFR/PFR;;
OCCURRENCE;-4873;VN-A690;VJ808;02-ENG START;06 Nov 18 - 06:32;06 Nov 18 - 06:33;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
;-4867;VN-A690;VJ273;09-80 KTS;07 Nov 18 - 03:58;07 Nov 18 - 03:58;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4858;VN-A690;VJ218;06-CRUISE;07 Nov 18 - 11:18;07 Nov 18 - 11:19;301151;TEMP CTL;R WAI VALVE(10DL);;No;CFR/PFR;;
;-4857;VN-A690;VJ219;06-CRUISE;07 Nov 18 - 13:07;07 Nov 18 - 13:08;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR/PFR;;
;-4840;VN-A690;VJ168;07-DESCENT;09 Nov 18 - 14:23;09 Nov 18 - 14:24;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4837;VN-A690;VJ121;06-CRUISE;10 Nov 18 - 04:10;10 Nov 18 - 04:11;228334;AFS;AFS:FMGC1;;No;CFR/PFR;;
;-4837;VN-A690;VJ121;06-CRUISE;10 Nov 18 - 04:10;10 Nov 18 - 04:12;228334;AFS;AFS:FMGC2;;No;CFR/PFR;;
;-4837;VN-A690;VJ121;06-CRUISE;10 Nov 18 - 04:10;10 Nov 18 - 04:12;344133;EIS 2;WXR1(1SQ1)/DU ND FO (3WT2)/DMC2(1WT2);;No;CFR/PFR;;
;-4836;VN-A690;VJ126;06-CRUISE;10 Nov 18 - 07:34;10 Nov 18 - 07:35;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4834;VN-A690;VJ724;09-80 KTS;10 Nov 18 - 11:34;10 Nov 18 - 11:35;3200;;BRAKES HOT;;No;CFR/PFR;;
OCCURRENCE;-4833;VN-A690;VJ721;06-CRUISE;10 Nov 18 - 13:25;10 Nov 18 - 13:25;2200;;AUTO FLT AP OFF;;No;CFR/PFR;;
;-4830;VN-A690;VJ270;02-ENG START;10 Nov 18 - 23:12;10 Nov 18 - 23:13;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
OCCURRENCE;-4828;VN-A690;VJ891;02-ENG START;11 Nov 18 - 05:11;11 Nov 18 - 05:12;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
;-4827;VN-A690;VJ892;02-ENG START;11 Nov 18 - 08:30;11 Nov 18 - 08:32;231133;CFDS;NO HF 1 DATA;;No;CFR/PFR;;
;-4824;VN-A690;VJ371;08-TOUCH DOWN;12 Nov 18 - 00:58;12 Nov 18 - 01:47;2700;;F/CTL;;No;CFR/PFR;;
OCCURRENCE;-4824;VN-A690;VJ371;08-TOUCH DOWN;12 Nov 18 - 00:58;12 Nov 18 - 01:47;279334;EFCS 1;ELAC1-COM OR BUS3 FROM IR3;;No;CFR/PFR;;
OCCURRENCE;-4823;VN-A690;VJ371;02-ENG START;12 Nov 18 - 01:37;12 Nov 18 - 01:48;279334;EFCS 2;ELAC1-COM OR BUS3 FROM IR3;;No;CFR/PFR;;
;-4823;VN-A690;VJ371;02-ENG START;12 Nov 18 - 01:37;12 Nov 18 - 01:48;2700;;F/CTL;;No;CFR/PFR;;
;-4822;VN-A690;VJ809;02-ENG START;12 Nov 18 - 04:11;12 Nov 18 - 04:11;3600;;AIR BLEED;;No;CFR/PFR;;
OCCURRENCE;-4822;VN-A690;VJ809;02-ENG START;12 Nov 18 - 04:11;12 Nov 18 - 04:11;3622;;AIR L WING LEAK;High;Yes;CFR/PFR;;
;-4822;VN-A690;VJ809;02-ENG START;12 Nov 18 - 04:11;12 Nov 18 - 04:11;2700;;F/CTL;;No;CFR/PFR;;
OCCURRENCE;-4822;VN-A690;VJ809;02-ENG START;12 Nov 18 - 04:11;12 Nov 18 - 04:12;279334;EFCS 2;ELAC1-COM OR BUS3 FROM IR3;;No;CFR/PFR;;
OCCURRENCE;-4822;VN-A690;VJ809;02-ENG START;12 Nov 18 - 04:11;12 Nov 18 - 04:12;362216;BMC 2;L WING LEAK;;Yes;CFR/PFR;;
;-4822;VN-A690;VJ809;10-ENG SHUT DN;12 Nov 18 - 04:16;12 Nov 18 - 04:16;242255;AFS;AFS:28V PWR 11XU1;;No;CFR/PFR;;
;-4822;VN-A690;VJ809;02-ENG START;12 Nov 18 - 04:16;12 Nov 18 - 04:16;3612;;AIR APU BLEED FAULT;Low;No;CFR/PFR;;
;-4821;VN-A690;VJ809;05-LIFT OFF;12 Nov 18 - 05:42;12 Nov 18 - 05:42;2700;;F/CTL;;No;CFR/PFR;;
OCCURRENCE;-4821;VN-A690;VJ809;05-LIFT OFF;12 Nov 18 - 05:42;12 Nov 18 - 05:43;279334;EFCS 1;ELAC1-COM OR BUS3 FROM IR3;;No;CFR/PFR;;
OCCURRENCE;-4820;VN-A690;VJ808;02-ENG START;12 Nov 18 - 08:01;12 Nov 18 - 08:01;2700;;F/CTL;;No;CFR/PFR;;
;-4818;VN-A690;VJ119;09-80 KTS;12 Nov 18 - 14:57;12 Nov 18 - 14:58;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4817;VN-A690;VJ118;09-80 KTS;12 Nov 18 - 15:03;12 Nov 18 - 15:03;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4816;VN-A690;VJ118;06-CRUISE;12 Nov 18 - 17:24;12 Nov 18 - 17:25;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4813;VN-A690;VJ517;09-80 KTS;13 Nov 18 - 05:28;13 Nov 18 - 05:28;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4812;VN-A690;VJ536;06-CRUISE;13 Nov 18 - 07:16;13 Nov 18 - 07:18;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4809;VN-A690;VJ406;09-80 KTS;13 Nov 18 - 12:54;13 Nov 18 - 12:54;242255;AFS;AFS:28V PWR 11XU1;;No;CFR/PFR;;
;-4808;VN-A690;VJ177;08-TOUCH DOWN;13 Nov 18 - 15:31;13 Nov 18 - 15:33;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR/PFR;;
OCCURRENCE;-4806;VN-A690;VJ123;06-CRUISE;14 Nov 18 - 00:47;14 Nov 18 - 00:48;275134;EFCS 1;SFCC1 -FLAP;;No;CFR/PFR;;
;-4803;VN-A690;VJ654;02-ENG START;14 Nov 18 - 08:04;14 Nov 18 - 08:05;3600;;AIR BLEED;;No;CFR/PFR;;
;-4802;VN-A690;VJ623;09-80 KTS;14 Nov 18 - 11:09;14 Nov 18 - 11:10;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4801;VN-A690;VJ224;09-80 KTS;14 Nov 18 - 13:39;14 Nov 18 - 13:41;2700;;F/CTL SPD BRK DISAGREE;Medium;No;CFR/PFR;;
;-4797;VN-A690;VJ273;09-80 KTS;15 Nov 18 - 03:33;15 Nov 18 - 03:33;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4796;VN-A690;VJ891;02-ENG START;15 Nov 18 - 04:57;15 Nov 18 - 04:58;3600;;AIR BLEED;;No;CFR/PFR;;
;-4796;VN-A690;VJ891;09-80 KTS;15 Nov 18 - 06:45;15 Nov 18 - 06:45;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4795;VN-A690;VJ892;08-TOUCH DOWN;15 Nov 18 - 09:40;15 Nov 18 - 09:41;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR/PFR;;
;-4791;VN-A690;VJ146;06-CRUISE;15 Nov 18 - 17:58;15 Nov 18 - 18:00;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4784;VN-A690;VJ958;02-ENG START;16 Nov 18 - 12:06;16 Nov 18 - 12:06;3600;;AIR BLEED;;No;CFR/PFR;;
;-4781;VN-A690;VJ371;09-80 KTS;17 Nov 18 - 02:33;17 Nov 18 - 02:33;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4775;VN-A690;VJ223;02-ENG START;17 Nov 18 - 16:25;17 Nov 18 - 16:26;2700;;F/CTL;;No;CFR/PFR;;
;-4775;VN-A690;VJ223;02-ENG START;17 Nov 18 - 16:25;17 Nov 18 - 16:27;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
OCCURRENCE;-4775;VN-A690;VJ223;02-ENG START;17 Nov 18 - 16:25;17 Nov 18 - 16:27;279434;EFCS 1;SEC3 OR BUS2 FROM IR2;;No;CFR/PFR;;
OCCURRENCE;-4774;VN-A690;VJ176;02-ENG START;17 Nov 18 - 23:07;17 Nov 18 - 23:09;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
;-4774;VN-A690;VJ176;06-CRUISE;18 Nov 18 - 00:55;18 Nov 18 - 01:00;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4773;VN-A690;VJ129;02-ENG START;18 Nov 18 - 01:43;18 Nov 18 - 01:45;231133;CFDS;NO HF 1 DATA;;No;CFR/PFR;;
;-4772;VN-A690;VJ136;06-CRUISE;18 Nov 18 - 05:54;18 Nov 18 - 05:56;216134;TEMP CTL;ACSC2(57HH);;No;CFR/PFR;;
;-4772;VN-A690;VJ136;09-80 KTS;18 Nov 18 - 06:29;18 Nov 18 - 06:30;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4771;VN-A690;VJ141;02-ENG START;18 Nov 18 - 07:14;18 Nov 18 - 07:15;231133;CFDS;NO HF 1 DATA;;No;CFR/PFR;;
;-4771;VN-A690;VJ141;06-CRUISE;18 Nov 18 - 08:47;18 Nov 18 - 08:48;2163;;COND HOT AIR FAULT;Low;Yes;CFR/PFR;;
;-4771;VN-A690;VJ141;06-CRUISE;18 Nov 18 - 08:48;18 Nov 18 - 08:49;216352;TEMP CTL;TRIM AIR PRESS VALVE(14HK);;Yes;CFR/PFR;;
;-4770;VN-A690;VJ144;02-ENG START;18 Nov 18 - 10:21;18 Nov 18 - 10:22;732160;ECAM 1;FWC2 :NO DATA FROM ECU2B;;No;CFR/PFR;;
;-4770;VN-A690;VJ144;02-ENG START;18 Nov 18 - 10:21;18 Nov 18 - 10:22;231133;CFDS;NO HF 1 DATA;;No;CFR/PFR;;
;-4770;VN-A690;VJ144;02-ENG START;18 Nov 18 - 10:29;18 Nov 18 - 10:31;279334;AFS;AFS:ELAC2;;No;CFR/PFR;;
;-4770;VN-A690;VJ144;06-CRUISE;18 Nov 18 - 12:13;18 Nov 18 - 12:15;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4769;VN-A690;VJ157;02-ENG START;18 Nov 18 - 13:04;18 Nov 18 - 13:05;231133;CFDS;NO HF 1 DATA;;No;CFR/PFR;;
OCCURRENCE;-4769;VN-A690;VJ157;06-CRUISE;18 Nov 18 - 14:44;18 Nov 18 - 14:45;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR/PFR;;
REPETITIVE;-4768;VN-A690;VJ648;02-ENG START;18 Nov 18 - 16:06;18 Nov 18 - 16:07;231133;CFDS;NO HF 1 DATA;;No;CFR/PFR;;
;-4768;VN-A690;VJ648;08-TOUCH DOWN;18 Nov 18 - 17:09;18 Nov 18 - 17:10;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR/PFR;;
OCCURRENCE;-4759;VN-A690;VJ321;02-ENG START;19 Nov 18 - 23:23;19 Nov 18 - 23:24;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
;-4756;VN-A690;VJ338;09-80 KTS;20 Nov 18 - 04:42;20 Nov 18 - 04:43;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4755;VN-A690;VJ148;02-ENG START;20 Nov 18 - 05:43;20 Nov 18 - 05:43;3600;;AIR BLEED;;No;CFR/PFR;;
;-4755;VN-A690;VJ148;06-CRUISE;20 Nov 18 - 07:35;20 Nov 18 - 07:37;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
;-4752;VN-A690;VJ406;06-CRUISE;20 Nov 18 - 12:39;20 Nov 18 - 12:40;345533;VOR 1;VOR1(3RS1);;No;CFR/PFR;;
OCC / REP;-4751;VN-A690;VJ177;02-ENG START;20 Nov 18 - 13:30;20 Nov 18 - 13:31;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
;-4751;VN-A690;VJ177;09-80 KTS;20 Nov 18 - 15:23;20 Nov 18 - 15:24;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4745;VN-A690;VJ272;02-ENG START;21 Nov 18 - 08:17;21 Nov 18 - 08:17;3600;;AIR BLEED;;No;CFR/PFR;;
;-4744;VN-A690;VJ281;06-CRUISE;21 Nov 18 - 11:54;21 Nov 18 - 11:54;2161;;TEMP CTL 2;;Yes;CFR/PFR;;
;-4744;VN-A690;VJ281;06-CRUISE;21 Nov 18 - 11:54;21 Nov 18 - 11:55;216134;TEMP CTL;ACSC2(57HH);;Yes;CFR/PFR;;
;-4739;VN-A690;VJ371;09-80 KTS;22 Nov 18 - 02:32;22 Nov 18 - 02:32;3200;;BRAKES HOT;;No;CFR/PFR;;
;-4736;VN-A690;VJ224;06-CRUISE;22 Nov 18 - 10:40;22 Nov 18 - 10:40;2161;;TEMP CTL 2;;Yes;CFR/PFR;;
;-4736;VN-A690;VJ224;06-CRUISE;22 Nov 18 - 10:40;22 Nov 18 - 10:41;216134;TEMP CTL;ACSC2(57HH);;Yes;CFR/PFR;;
OCC / REP;-4735;VN-A690;VJ225;02-ENG START;22 Nov 18 - 12:13;22 Nov 18 - 12:14;231133;HF 1;HF1 CPLR1(4RE1)/COAX/ FEEDER(6RE1)/ANT(5RE);;No;CFR/PFR;;
OCCURRENCE;-4733;VN-A690;VJ223;06-CRUISE;22 Nov 18 - 17:11;22 Nov 18 - 17:12;2161;;TEMP CTL 2;;Yes;CFR/PFR;;
;-4733;VN-A690;VJ223;06-CRUISE;22 Nov 18 - 17:11;22 Nov 18 - 17:13;216134;TEMP CTL;ACSC2(57HH);;Yes;CFR/PFR;;
