
		Printed:
	    28/08/2021

		Title:
		History Search - CMS

Date;From 01 Apr 18 To 19 Jun 21
Fleet;VJC_all
A/C Type;A320
A/C ID;VN-A690
Message Type;ALL
Ata - subAta;ALL - ALL
Correlated;ALL
Text;ALL


Fault Tracking;Leg;A/C ID;Flight Number;Flight phase;Date Time;Transmission Date;ATA;Source;Title;Priority;Correlated;Report;Work;Note
;-6799;VN-A690;VJ206;02-ENG START;17 Apr 18 - 00:24;17 Apr 18 - 00:25;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6789;VN-A690;VJ125;02-ENG START;17 Apr 18 - 23:39;17 Apr 18 - 23:40;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6789;VN-A690;VJ125;06-CRUISE;18 Apr 18 - 00:03;18 Apr 18 - 00:04;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR;;
;-6788;VN-A690;VJ825;02-ENG START;18 Apr 18 - 02:59;18 Apr 18 - 03:00;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6776;VN-A690;VJ825;02-ENG START;19 Apr 18 - 02:57;19 Apr 18 - 02:58;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6774;VN-A690;VJ374;02-ENG START;19 Apr 18 - 08:23;19 Apr 18 - 08:24;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6771;VN-A690;VJ246;02-ENG START;19 Apr 18 - 12:21;19 Apr 18 - 12:21;3600;;AIR BLEED;;No;CFR;;
;-6771;VN-A690;VJ246;02-ENG START;19 Apr 18 - 12:21;19 Apr 18 - 12:22;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6767;VN-A690;VJ125;02-ENG START;19 Apr 18 - 23:30;19 Apr 18 - 23:31;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6764;VN-A690;VJ374;02-ENG START;20 Apr 18 - 08:47;20 Apr 18 - 08:48;3600;;AIR BLEED;;No;CFR;;
;-6756;VN-A690;VJ304;02-ENG START;21 Apr 18 - 00:23;21 Apr 18 - 00:24;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6753;VN-A690;VJ803;02-ENG START;21 Apr 18 - 04:50;21 Apr 18 - 04:50;3100;;RECORDER DFDR FAULT;Medium;No;CFR;;
;-6753;VN-A690;VJ803;02-ENG START;21 Apr 18 - 04:50;21 Apr 18 - 04:51;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6747;VN-A690;VJ491;02-ENG START;22 Apr 18 - 00:31;22 Apr 18 - 00:32;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6740;VN-A690;VJ407;02-ENG START;22 Apr 18 - 09:16;22 Apr 18 - 09:17;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6734;VN-A690;VJ433;02-ENG START;23 Apr 18 - 00:07;23 Apr 18 - 00:08;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6731;VN-A690;VJ195;02-ENG START;23 Apr 18 - 04:29;23 Apr 18 - 04:30;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6731;VN-A690;VJ195;06-CRUISE;23 Apr 18 - 05:06;23 Apr 18 - 05:10;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6729;VN-A690;VJ159;02-ENG START;23 Apr 18 - 10:08;23 Apr 18 - 10:11;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6728;VN-A690;VJ178;02-ENG START;23 Apr 18 - 13:04;23 Apr 18 - 13:05;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6726;VN-A690;VJ524;06-CRUISE;23 Apr 18 - 18:13;23 Apr 18 - 18:14;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR;;
;-6725;VN-A690;VJ451;02-ENG START;24 Apr 18 - 00:13;24 Apr 18 - 00:14;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6725;VN-A690;VJ451;06-CRUISE;24 Apr 18 - 00:43;24 Apr 18 - 01:00;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6718;VN-A690;VJ703;02-ENG START;24 Apr 18 - 11:03;24 Apr 18 - 11:04;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6714;VN-A690;VJ491;02-ENG START;25 Apr 18 - 01:02;25 Apr 18 - 01:03;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6707;VN-A690;VJ407;02-ENG START;25 Apr 18 - 09:18;25 Apr 18 - 09:19;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6707;VN-A690;VJ407;06-CRUISE;25 Apr 18 - 10:01;25 Apr 18 - 10:02;231133;HF 1;HF1(3RE1);;No;CFR;;
;-6702;VN-A690;VJ121;02-ENG START;25 Apr 18 - 22:59;25 Apr 18 - 23:00;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6699;VN-A690;VJ220;06-CRUISE;26 Apr 18 - 09:04;26 Apr 18 - 10:58;301151;TEMP CTL;R WAI VALVE(10DL);;No;CFR;;
;-6695;VN-A690;VJ451;02-ENG START;26 Apr 18 - 23:26;26 Apr 18 - 23:27;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6690;VN-A690;VJ463;02-ENG START;27 Apr 18 - 09:01;27 Apr 18 - 09:02;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6690;VN-A690;VJ463;02-ENG START;27 Apr 18 - 09:01;27 Apr 18 - 09:03;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6687;VN-A690;VJ401;02-ENG START;27 Apr 18 - 14:41;27 Apr 18 - 14:44;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6687;VN-A690;VJ401;02-ENG START;27 Apr 18 - 14:41;27 Apr 18 - 14:44;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6683;VN-A690;VJ751;02-ENG START;27 Apr 18 - 23:45;27 Apr 18 - 23:55;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6673;VN-A690;VJ401;02-ENG START;28 Apr 18 - 13:47;28 Apr 18 - 13:48;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6673;VN-A690;VJ401;06-CRUISE;28 Apr 18 - 14:12;28 Apr 18 - 14:13;344334;ATC 1;ATC 1:NO DATA FROM TCAS;;No;CFR;;
;-6672;VN-A690;VJ692;02-ENG START;28 Apr 18 - 15:58;28 Apr 18 - 16:07;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6670;VN-A690;VJ671;02-ENG START;28 Apr 18 - 23:35;28 Apr 18 - 23:42;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6668;VN-A690;VJ670;02-ENG START;29 Apr 18 - 01:43;29 Apr 18 - 02:04;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6666;VN-A690;VJ767;02-ENG START;29 Apr 18 - 04:00;29 Apr 18 - 04:08;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6656;VN-A690;VJ155;02-ENG START;29 Apr 18 - 22:25;29 Apr 18 - 22:26;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6648;VN-A690;VJ461;02-ENG START;01 May 18 - 00:11;01 May 18 - 00:12;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6645;VN-A690;VJ701;02-ENG START;01 May 18 - 05:02;01 May 18 - 05:03;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6644;VN-A690;VJ464;02-ENG START;01 May 18 - 07:06;01 May 18 - 07:12;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6642;VN-A690;VJ957;02-ENG START;01 May 18 - 10:01;01 May 18 - 10:02;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6641;VN-A690;VJ958;06-CRUISE;01 May 18 - 13:22;01 May 18 - 13:40;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6640;VN-A690;VJ183;02-ENG START;01 May 18 - 15:57;01 May 18 - 15:59;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6637;VN-A690;VJ390;02-ENG START;02 May 18 - 01:55;02 May 18 - 01:56;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 05:43;02 May 18 - 05:43;2200;;AUTO FLT AP OFF;;Yes;CFR;;
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 05:44;02 May 18 - 05:45;228334;AFS;AFS:FMGC2;;Yes;CFR;;
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 05:50;02 May 18 - 05:50;2700;;F/CTL;;No;CFR;;
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 05:50;02 May 18 - 05:51;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 05:50;02 May 18 - 05:51;228334;EFCS 1;FMGC2;;No;CFR;;
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 05:52;02 May 18 - 05:53;3100;;C/B TRIPPED REAR PNL J-M;;No;CFR;;
